"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준","기기별_검색추이","성별","선호_성별_검색추이","선호연령대","선호연령대_성별","선호연령대_검색추이"
"146","2017","4","2Q","인터넷","여가_생활편의","e쿠폰서비스",12206,12277,"감소","spring",0,99.8,3.7,101.5,8.7,NA,NA,NA,NA,NA,NA
"147","2017","4","2Q","인터넷","여가_생활편의","문화 및 레저서비스",66084,88936,"감소","spring",0,99.8,3.7,101.5,8.7,NA,NA,NA,NA,NA,NA
"148","2017","4","2Q","인터넷","여가_생활편의","여행 및 교통서비스",534384,510654,"증가","spring",0,99.8,3.7,101.5,8.7,NA,NA,NA,NA,NA,NA
"149","2017","4","2Q","모바일","출산_육아","아동·유아용품",203032,204856,"감소","spring",0,99.8,3.7,101.5,8.7,43.928805,"f",41.61616,"30","여자",56.55905
"150","2017","4","2Q","인터넷","출산_육아","아동·유아용품",90564,95343,"감소","spring",0,99.8,3.7,101.5,8.7,3.971805,"f",43.44721,"30","여자",62.84234
"151","2017","4","2Q","모바일","패션잡화","가방",112149,114633,"감소","spring",0,99.8,3.7,101.5,8.7,67.613035,"f",69.08307,"30","여자",81.60701
"152","2017","4","2Q","모바일","패션잡화","신발",97379,97495,"감소","spring",0,99.8,3.7,101.5,8.7,67.613035,"f",69.08307,"30","여자",81.60701
"153","2017","4","2Q","모바일","패션잡화","의복",531625,563752,"감소","spring",0,99.8,3.7,101.5,8.7,67.613035,"f",69.08307,"30","여자",81.60701
"154","2017","4","2Q","모바일","패션잡화","패션용품 및 액세서리",105230,102632,"증가","spring",0,99.8,3.7,101.5,8.7,67.613035,"f",69.08307,"30","여자",81.60701
"155","2017","4","2Q","인터넷","패션잡화","가방",47250,54028,"감소","spring",0,99.8,3.7,101.5,8.7,7.13824,"m",69.39836,"30","남자",77.82801
"156","2017","4","2Q","인터넷","패션잡화","신발",54249,55799,"감소","spring",0,99.8,3.7,101.5,8.7,7.13824,"m",69.39836,"30","남자",77.82801
"157","2017","4","2Q","인터넷","패션잡화","의복",441022,478990,"감소","spring",0,99.8,3.7,101.5,8.7,7.13824,"m",69.39836,"30","남자",77.82801
"158","2017","4","2Q","인터넷","패션잡화","패션용품 및 액세서리",59952,63045,"감소","spring",0,99.8,3.7,101.5,8.7,7.13824,"m",69.39836,"30","남자",77.82801
